title,product_id,merchant_id,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_has_profile_picture
robe,5e06d16908979a191fe33031,57baf75f63834218e305e4f4,xiejiatang,xiejiatang,"82 % avis positifs (32,858 notes)",32858,3.88553776857995,0
robe,5578fe96893ec31c0ad635e6,556fc80f95528719e004fe8b,zhenyangongyequ7766,zhenyangongyequ7766,"87 % avis positifs (40,616 notes)",40616,4.098557218830018,0
robe,5809ab4aa964b43cbe7b19ef,57864d704d669274929898fb,shenzhenfuzhuangmaoyiyouxiangongsidianpu,深圳服装贸易有限公司店铺,"84 % avis positifs (32,394 notes)",32394,3.9246774093968018,0
robe,591c1155b9317f274dbaac86,570b68b9e902df590e48d196,byebyebye,byebyebye,"86 % avis positifs (11,965 notes)",11965,4.0171333054743,0
pantalon,5b04d636306ac3182e2481f9,58b81d56e3f66d59b36812ac,A small twist of sweet fruit,asmalltwistofsweetfruit,"92 % avis positifs (9,661 notes)",9661,4.293240865334853,0
t_shirt,5ecb610b60d793319e3a06a0,5810aa5bde5bf01b645c909e,Recherche.sg,recherchesg,"84 % avis positifs (3,791 notes)",3791,3.918754945924558,0
pantalon,5cc7b4c98b94871ee33b33b6,5acaf29d5ebcfd72403106a8,Suyi Technology,greatexpectationstechnology,"86 % avis positifs (12,309 notes)",12309,4.0451702006661785,1
robe,5ecb7e7bdc30f61965688c68,5eb6598ec43e5c5ab9fd5a78,yangshaokuei6688,yangshaokuei6688,82 % avis positifs (129 notes),129,3.7906976744186047,0
t_shirt,5cef6f6f1d8cd844d8dade14,5667f9745eec70268023940b,longfeifengwu,龙飞凤舞,"85 % avis positifs (130,598 notes)",130598,3.946790915634237,0
veste,5eb252858a2fcf27fbd81ece,5e4f81dc968c88593150e98e,Supuma Wall Sticker,supumawallsticker,78 % avis positifs (72 notes),72,3.7777777777777777,0
robe,5d78eb19cc404c03393c83b5,5a792e56a71fbf471cf1fc99,MSyongan,supersupermarket,"81 % avis positifs (5,846 notes)",5846,3.8325350667122815,0
bain,5c72abadba08b264e3aebb9a,582ff94e0d44631042fe7c41,haoyouduooo,haoyouduooo,"91 % avis positifs (14,298 notes)",14298,4.260595887536718,0
pantalon,5e8dfd148e760f97b76f09a5,5e50e6b968f8f90ec04531bf,zoufei,zoufei,86 % avis positifs (189 notes),189,4.068783068783069,0
robe,5ce21d4c033389325d443022,5aad329608a224392d805720,mekemoneyemm,successed,"91% Feedback pozitiv (1,038 rating)",1038,4.254335260115607,0
robe,5d4fb2a715168b6ba86ad354,5926c5ace8ff5525241b368d,Pentiumhorse,pentiumhorse,"89 % avis positifs (55,499 notes)",55499,4.138885385322259,0
t_shirt,5ec773b5967eb036b2c2e668,5b348167af6b3122dba38825,hufscfshkuhjdfs,hufscfshkuhjdfs,"(8,996 notes)",8996,3.915740329035127,0
pantalon,5e8ebf2eac17f043654c58d7,583141fbfef4094e51453d9b,pookie0331,pookie0331,"87 % avis positifs (7,497 notes)",7497,4.079365079365079,0
robe,5d67944867b2c57d6f358338,5d3da852e4b65d3e801e9b5d,SOPHIE PRETTY,sophiepretty,81 % avis positifs (168 notes),168,3.7321428571428568,0
robe,5d0097b7e372cc63e0376a4c,5810bc6d61e38656e04e8ba2,guanzhiming44553,guanzhiming44553,"86 % avis positifs (7,069 notes)",7069,4.055028999858537,0
t_shirt,5ea914e163d59930cccc879c,5e61e5580705ac039c94c08f,maxiaoxu,maxiaoxu,68 % avis positifs (359 notes),359,3.4094707520891365,0
t_shirt,5cabfcdc32227053f6254ee6,5abf36d540626a753e8fc18a,HuaBaoxuanhandicraftshop,huabaoxuanhandicraftshop,"91 % avis positifs (3,883 notes)",3883,4.288179242853464,0
robe,5b21200c62ecd114b51a00f4,58160e10f870301b4bff64fc,zhaojinghui,zhaojinghui,"85 % avis positifs (3,915 notes)",3915,3.986206896551724,0
bain,5de220d892bf939443e0eaf6,57ee5f0025e7c00ffe3f000c,Butgood,butgood,"81% opinii pozytywnych (liczba ocen: 37,753)",37753,3.8285699149736434,0
other,5c89b88e9a4d0e31e7532778,5b2604207b94e16c00375350,zhaowenxiang,zhaowenxiang,"92 % avis positifs (2,736 notes)",2736,4.3238304093567255,0
pantalon,59636dbdc657d57012e8b3f3,595f3d28ce4e69232af53c32,Jutao Trading,jutaotrading,"90 % avis positifs (12,322 notes)",12322,4.237542606719688,0
robe,5e54d231288c854858653a3c,5938e6a17fe241506f93503b,fuzhe622,fuzhe622,"87 % avis positifs (3,804 notes)",3804,4.109621451104101,0
t_shirt,5ac302716931da0d71398f53,5950d54a4b913a1174a7ae6d,"Ruihong Home&Garden Co.,ltd",ruihonghomegardencoltd,"90 % avis positifs (2,212 notes)",2212,4.209312839059675,0
pantalon,5eaa6e36fa62c322bb57f78d,5dd790db4cc6678b7441ba5d,hanziye1234,hanziye1234,71 % avis positifs (364 notes),364,3.381868131868132,0
pantalon,5ed49e6cbddbc879074ce8db,58402f95e24c5b06c6dccd35,duhan,duhan,93 % avis positifs (619 notes),619,4.368336025848143,0
pantalon,5c19e627b5d6eb585a98b1e7,5836e38728f25753fe6af6a8,rtgh,rtgh710402e4b24511e6b69106d0c1a90220,"(45,151 notes)",45151,4.0329560807069615,0
t_shirt,5d10313c6903be601a68191d,564d8a9ac0f55a1276cd96f8,Cenic Beauty,cenicbeauty,"87 % avis positifs (42,919 notes)",42919,4.105967054218412,0
t_shirt,5ea7a6f6191e142dee990e0f,580595bda46fa31f93d83357,camilleziyan,happybest,"(1,151 notes)",1151,4.3249348392702,0
t_shirt,5cba00c59cff0a2ef7bb8df3,558c2cdc89d53c4005ea2920,guangzhouweishiweifushiyouxiangongsi,广州唯适唯服饰有限公司,"83 % avis positifs (32,168 notes)",32168,3.8845436458592384,0
robe,5d0243123ae5dc7393474e4d,53e03f56ff4d6d36d2285ab0,hechuang1001,hechuang1001,"86 % avis positifs (25,093 notes)",25093,4.068664567807756,1
t_shirt,5e60cf863cc066db7c05eeba,5d46751876befe56001de246,Alliswell118,alliswell118,"81% Positive Feedback (1,685 ratings)",1685,3.811275964391692,0
robe,5c5fce98075d674a6acc7b84,563a19d1f75382101530dc15,SZ Globe Fashion World,szglobefashionworld,"(39,395 notes)",39395,4.054423150145958,0
bain,5ee4389b9d2ddf161dcb50c7,56a9df1b3a698c526f769805,papastees,papastees,"(4,150 notes)",4150,4.252289156626507,0
robe,5d0b4268d5c8e1784b6e23b4,58259c456ebae74739ecfdc8,jiayun shop,jiayunshop,"87 % avis positifs (2,248 notes)",2248,4.150355871886121,0
t_shirt,5c95ca01202e6b700d5c5ee4,59f868d0eea5c51c2167d097,liufengjiao,liufengjiao,"(18,529 notes)",18529,4.135949052836095,0
pantalon,5a98b8cd414de27e9ef44d4a,53a2a09ad91139519161a267,FashionForChanny ,guangzhouchannytradecoltd,"91 % avis positifs (165,915 notes)",165915,4.256076906849893,0
pantalon,5e0ac4a79691cb6cc1fa7323,5ae29b4e1baafe7c0109c5ae,longlongchenchen,longlongchenchen,"85 % avis positifs (3,300 notes)",3300,4.024242424242424,0
short,5e1847af3336f40fccedf031,5a9e3a01ccf0c80c2d372870,wisetqw,wisetqw,"86 % avis positifs (9,857 notes)",9857,4.053971796692705,0
robe,5cf22f0724fe055ca684c3a7,58131ddf6f55296033923a7c,vvfashion2016,vvfashion2016,"90 % avis positifs (90,105 notes)",90105,4.2012984851007165,1
t_shirt,5ccbd380b8ceed67d64eb36e,5addba5481260b1ddfffe5a3,houxiandaili,houxiandaili,"88 % avis positifs (3,977 notes)",3977,4.145335680160925,0
robe,5c25a5209e480d5fa87c638a,58ffff331a1cef16a78c78f4,Treasure land,treasureland,"(22,173 notes)",22173,4.203400532178776,0
short,5ea252f345b33212c1012e5e,5abb2cf26be8733b5bf6844f,maligoodsmart,lazzyshop,"88 % avis positifs (31,138 notes)",31138,4.117444922602608,1
robe,5cfdc9eaa9b0806c2f9aca41,5abb2cf26be8733b5bf6844f,maligoodsmart,lazzyshop,"88 % avis positifs (31,138 notes)",31138,4.117444922602608,1
robe,57d25f8877ba9b045e02cd12,57875ba40cb30d38ba46f57d,Melantha,melantha,"91 % avis positifs (58,068 notes)",58068,4.310188055383343,1
robe,5b220a09415f47162c1c155e,540ec1f21d2d431f2d4b5cb6,MayLin1230,maylin1230,"89 % avis positifs (3,532 notes)",3532,4.19960362400906,0
short,5a991e9dd236a537f1473439,58216982dd9916453fe2d1a1,Simple_style,simple_style,"(213,709 notes)",213709,4.293899648587567,0
robe,5c9209128f5ca95fc2c046bd,584a9e7421390e4cb68dec18,xiaojubo,xiaojubo,"84 % avis positifs (6,818 notes)",6818,3.9823995306541513,0
t_shirt,5ecb7f7dc76c3c99918909f0,5eb50ff17041111c43033565,liuxuelian123,liuxuelian123,73 % avis positifs (211 notes),211,3.5450236966824646,0
veste,5d197f6647e7d46f98d78309,5498115d653d5121ae5409c9,yingzuo,英佐游臣专卖店,"84 % avis positifs (11,030 notes)",11030,3.952583862194016,0
robe,5e902948fac97a32c1e5e38e,5963882dd9b42511248ca27d,silveres_9,silveres_9,"81 % avis positifs (2,363 notes)",2363,3.853575962759205,0
short,5edf2bba26a6cf0388a44aad,58e4a53ce070a80f9180685a,liulianbag,liulianbag,"91 % avis positifs (8,888 notes)",8888,4.243249324932493,0
t_shirt,5ccfcecb9abadb59845c93c8,564d8a9ac0f55a1276cd96f8,Cenic Beauty,cenicbeauty,"87 % avis positifs (42,919 notes)",42919,4.105967054218412,0
short,5ab5c9b75194c936ddbdd8e7,58a6971e0e16e97a6636a1b8,Home Stuff,homestuff,"93 % avis positifs (85,562 notes)",85562,4.394591056777541,0
jupe,5ed1c059630f990d1d44592c,5a3231f2e62bbc45b0bda1dd,renpingping,renpingping,80 % avis positifs (129 notes),129,3.8372093023255816,0
t_shirt,5eba2544300b031bc24ff8f6,57086fd7fa6bee434d0e5852,Surper boutique,surperboutique,"85 % avis positifs (10,501 notes)",10501,4.029235310922768,0
pantalon,5ed49e6cbddbc879074ce8db,58402f95e24c5b06c6dccd35,duhan,duhan,93 % avis positifs (619 notes),619,4.368336025848143,0
t_shirt,5e37c1ea08b64727ff894b5d,5831ae002f5e534c0a485f06,jiangshanpu,jiangshanpu,"81 % avis positifs (4,524 notes)",4524,3.865384615384616,0
pantalon,5c340c2b31825e42ca62d69a,583e7f658108913bced6f8cf,luojiayushop,luojiayushop,"91% retroalimentación positiva (9,200 calificaciones)",9200,4.289673913043479,0
short,5ea11f79e2a3123494955d83,5667c747eb4b140fe963ba77,Justfashion,顶级婆娘,"85 % avis positifs (59,234 notes)",59234,3.9870513556403417,0
t_shirt,5df49c4732950d0102838a00,56455b13b15aab129db58cb7,Rell Mail,rellmail,"(16,803 notes)",16803,4.1550318395524615,0
robe,5abcce430de05539f33c17a2,59a54d5eae228e4f11e9c5e0,miniWGS,miniwgs,"81 % avis positifs (2,397 notes)",2397,3.860659157279933,0
t_shirt,5e913f130d3e282f24260292,582833faea77701b456c786a,Sangboo Store,sangboostore,"82 % avis positifs (10,600 notes)",10600,3.8675471698113206,0
pantalon,5e707d59ad58d64d89a54409,5e6910549145adc9f7972fac,wf06,wf06,86 % avis positifs (114 notes),114,4.149122807017544,0
bain,588392e43d29014fabb85dad,565973368f5f027e14060846,SEVEN O.O,xinshengangcai,"87 % avis positifs (27,719 notes)",27719,4.070637468884159,0
robe,5ad95b9007c7b46572687a5d,556d0dc2c00cd721cce30dd1,SZLCGC777,szlcgc777,"(25,260 notes)",25260,3.995605700712589,0
bain,5af8fc1aa708c4241d0cf8a3,5acf2091cd968d299afe79a3,yangxueqing,yangxueqing,"88 % avis positifs (11,740 notes)",11740,4.1137989778534925,0
